organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
"Marie Hogarth, CBP (individual)",Mansfield,"Marie Hogarth, CBP (individual)",Statewide,,0433 476 005,mariehogarth.com,,Not applicable,No,Yes,No,,,,,,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Maternal and Child Health Line,Online,Maternal and Child Health Line,Statewide,,13 22 29.,https://www.betterhealth.vic.gov.au/health/serviceprofiles/maternal-and-child-health-line,,No timeframe,Yes,Yes,Yes,24 hours,,,,,Free,Online,Self management,"Free call, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,Tertiary qualified
Meditation Oasis Apps,Online,Meditation Oasis Apps,Statewide,meditate@meditationoasis.com,,Apps — Meditation Oasis,Some apps require payments. Most payments have been removed or reduced due to the COVID-19 pandemic,No timeframe,Yes,Yes,Yes,Apps which can be ran or accessed at any time,"PO Box 150, Sonoma, CA 95476, USA",,,,"Free, Paid",Online,Self management,Free call,Mental health promotion,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Melbourne City Mission,Single,Frontyard Youth Services,North Western Melbourne,frontyard@mcm.org.au,1800 800 531,https://www.mcm.org.au/services/homelessness/frontyard,,Not applicable,No,Yes,Yes,"Monday	 9 am–8 pm
Tuesday	 9 am–8 pm
Wednesday  9 am–8 pm
Thursday  9 am–8 pm
Friday	 9 am–8 pm
Saturday	 10 am–6 pm
Sunday	 10 am–6 pm",19 King Street in Melbourne's CBD,,,,Free,In person,"High intensity, Moderate intensity",Free call,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Homeless, Young People",
Melbourne Developmental and Behavioural Paediatrics,Donvale,Dr. Chitra Chandran,Greater Melbourne,admin@mdbp.com.au,9841 9388,https://www.mdbpaediatrics.com.au/portfolio-view/dr-chitra-chandran/,,Not applicable,No,Yes,Yes,"8.00 am-6.00 pm Monday to Friday
8.00 am-1.00 pm Saturday
Closed Public Holidays","Donvale Medical Suites, 90 Mitcham Rd (Cnr Mitcham and Springvale Rds)",Donvale,VIC,3111,Paid,In person,"Low intensity, Moderate intensity",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services",Young People,Medical
Melbourne Health,"Royal Melbourne Hospital- Royal Park Campus, Parkville",Melbourne Health |North West Mental Health | Psychiatric triage,North Western Melbourne,,1300874243,https://www.nwmh.org.au/what-expect-when-calling-triage,,Not applicable,Yes,Yes,Yes,,34-54 Poplar Rd,Parkville,VIC,3052,Free,Online,"High intensity, Specialist","Doctor/GP referral, Free call","Primary and specialised clinical ambulatory mental health care services, Specialised bed-based mental health care services, Specialised mental health community support services","Adult, Hospital, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Melbourne Health Psychology Centre,Albert Park,Melbourne Health Psychology Centre,Statewide,contact@mhpc.com.au,+61 414 746 567,https://mhpc.com.au/,,No timeframe,No,Yes,No,,"59 Victoria avenue,Albert Park",Albert Park,VIC,3206,Paid,In person,"High intensity, Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Melbourne paediatric specialists,Parkville,Dr. Rick Jarman,Greater Melbourne,admin@mpschild.com.au,61 (3) 9948 5005,https://www.melbournepaediatricspecialists.com.au/profile/dr-rick-jarman/,To obtain fees you must submit an online request.,Less than a year,No,Yes,No,Paediatrician Dr Rick Jarman is now fully booked for 2023 and unable to take new patients or referrals for appointments until early 2024.,"Suite 4.3 / Level 4, 48 Flemington Road",Parkville,VIC,3052,Paid,In person,"Low intensity, Moderate intensity",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services","Children, Young People",Medical
Melbourne Psychology & Counselling,Coburg,Low cost,North Western Melbourne,admin@melbpsych.com.au,(03) 9005 1769,https://www.melbpsych.com.au/low-cost-counselling,"We currently have limited availability for telehealth and in-person appointments. If you are interested in appointments, please complete the form below.",Not applicable,No,Yes,No,,"Moreland Road Clinic, 85 Moreland Road",Coburg,VIC,3058,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,Primary and specialised clinical ambulatory mental health care services,"Adult, Children, Young People",Tertiary qualified
Mensline,Footscray & Online,free telephone and online counselling,Statewide,,,https://mensline.org.au/,,No timeframe,No,No,No,,"On the Line, PO Box 2335",Footscray,VIC,3011,Free,Online,"Low intensity, Moderate intensity",Free call,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,
Mensline,Footscray & Online,online resources,Statewide,,,https://mensline.org.au/,,Not applicable,Yes,Yes,Yes,,"On the Line, PO Box 2335",Footscray,VIC,3012,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention",Specialised Services,
Merri Health,"Bell Street, Coburg",Counselling,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Less than 3 months,No,Yes,No,Monday - Friday 9:00am-5:00pm.,93 Bell Street,Coburg,VIC,3058,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,Brunswick,Counselling,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Less than 3 months,No,Yes,Yes,"Opening hours (all services):Monday - Friday 8:30am-5:00pm, Extra hours (dental):Monday evening 5:00pm – 7:00pm and Saturday 8:30am – 12:30pm",11 Glenlyon Road,Brunswick,VIC,3056,Free,In person,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,Brunswick,New Chronic Pain Management Service,North Western Melbourne,service.access@merrihealth.org.au,1300 637 744,Merri Health | New Chronic Pain Management Service,,Less than a month,No,Yes,No,,11 Glenlyon Rd,Brunswick,VIC,3056,Free,"In person, Online","High intensity, Low intensity, Moderate intensity, Self management",,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,"Medical, Tertiary qualified"
Merri Health,Brunswick,Q Health,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,"Counselling and support service for people who would like to talk about the concerns or impacts of their alcohol and drug use in a confidential, non-judgmental and queer-affirmative space.",Not applicable,No,Yes,Yes,"Opening hours (all services):Monday - Friday 8:30am-5:00pm, Extra hours (dental):Monday evening 5:00pm – 7:00pm and Saturday 8:30am – 12:30pm",11 Glenlyon Road,Brunswick,VIC,3056,Free,In person,"Low intensity, Self management","Free call, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",LGBTQIA+,"Peer worker, Tertiary qualified, Vocationally qualified"
Merri Health,Brunswick West,Social Support Program,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Not applicable,No,Yes,No,Opening hours (all services):Monday – Friday 9:30am-4:30pm,382-386 Moreland Road,Brunswick West,VIC,3055,Paid,In person,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Adult, Older Adults","Peer worker, Vocationally qualified"
Merri Health,Coburg,Living Well Ageing Well,North Western Melbourne,LivingWellAgeingWell@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/services/aged-care/living-well-programs/social-and-recreational-support/,,Not applicable,No,Yes,No,Monday - Friday 9:00am-5:00pm,"Ground floor, Unit 4, 19 Pentridge Boulevard",Coburg,VIC,3058,Paid,"In person, Online, Outreach","Low intensity, Moderate intensity, Self management",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Adult, Older Adults","Tertiary qualified, Vocationally qualified"
Merri Health,Coburg,New Chronic Pain Management Service,North Western Melbourne,service.access@merrihealth.org.au,1300 637 744,Merri Health | New Chronic Pain Management Service,,Less than a month,No,Yes,No,,93 Bell St,Coburg,VIC,3058,Free,"In person, Online","High intensity, Low intensity, Moderate intensity, Self management",,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,"Medical, Tertiary qualified"
Merri Health,Fawkner,Counselling,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Less than 3 months,No,Yes,No,"Monday - Friday 9:00am-5:00pm, closed between 1 and 2pm","CB Smith Reserve, 79 Jukes Road",Fawkner,VIC,3060,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,Glenroy,Counselling,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Less than 3 months,No,Yes,No,Monday - Friday 9:00am-5:00pm,5D Cromwell Street,Glenroy,VIC,3046,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,Preston,Counselling,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Less than 3 months,No,Yes,No,Monday - Friday 9:00am – 5:00pm,"Level 1 and 2, 110 Chifley Drive",Preston,VIC,3072,Free,In person,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,Preston,Stepped Care,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Not applicable,No,Yes,No,Monday - Friday 9:00am – 5:00pm,"Level 1 and 2, 110 Chifley Drive",Preston,VIC,3072,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Adult, Older Adults","Tertiary qualified, Vocationally qualified"
Merri Health,Preston,Victims Assistance Program,North Western Melbourne,VAPIntake@merrihealth.org.au,1300 362 739,https://www.merrihealth.org.au/,,Not applicable,No,Yes,Yes,"Monday to Sunday, 8am-11pm","Level 1 and 2, 110 Chifley Drive",Preston,VIC,3072,Free,In person,"High intensity, Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,"Victoria Street, Coburg",Counselling,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,,Less than 3 months,No,Yes,Yes,"Monday 9:00am – 5:15pm, Tuesday 9:00am – 6:00pm, Wednesday 8:45am – 6:00pm, Thursday 9:00am – 5:15pm and Friday 8:45am – 5:00pm",21 Victoria Street,Coburg,VIC,3058,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Merri Health,"Victoria Street, Coburg",Family violence service,North Western Melbourne,info@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,"Counselling and support for women and children who have gone through, or are going through family violence.",Not applicable,No,Yes,Yes,"Monday 9:00am – 5:15pm, Tuesday 9:00am – 6:00pm, Wednesday 8:45am – 6:00pm, Thursday 9:00am – 5:15pm and Friday 8:45am – 5:00pm",21 Victoria Street,Coburg,VIC,3058,Free,In person,"Low intensity, Moderate intensity",Free call,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Children, Families","Tertiary qualified, Vocationally qualified"
Merri Health,"Victoria Street, Coburg",Q Health,North Western Melbourne,qhealth@merrihealth.org.au,1300637744,https://www.merrihealth.org.au/,"Counselling and support service for people who would like to talk about the concerns or impacts of their alcohol and drug use in a confidential, non-judgmental and queer-affirmative space.",Not applicable,No,Yes,No,,22 Victoria Street,Coburg,VIC,3058,Free,In person,"Low intensity, Moderate intensity, Self management","Free call, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",LGBTQIA+,"Peer worker, Tertiary qualified, Vocationally qualified"
Michelle Cranston,Burwood East,Eating Disorder Treatment and General Counselling,Statewide,info@michellecranston.com,,https://www.michellecranston.com/,,Yes (but no timeframe),No,Yes,No,,,,,,N/A,"In person, Online","High intensity, Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
min,Online,mind|Carer Helpline,Statewide,mindconnect@mindaustralia.org.au,1300 554 660,https://www.mindaustralia.org.au/resources/carers,,No timeframe,No,Yes,No,,,,,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention","Families, Specialised Services",
Mind At Peace,online,Mind At Peace,Statewide,"info@mindatpeace.com.au (Main Enquires)
practicemanager@mindatpeace.com.au","	
PHONE
0400 595 145 (General Enquiries)
0428 938 106 (Practice Manager)",www.mindatpeace.com.au,,No timeframe,No,Yes,No,,"Collins Street Tower, Level 3, 480 Collins Street",Melbourne,VIC,3000,Paid,Online,"Low intensity, Moderate intensity",,"Medications and procedures, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,"Medical, Tertiary qualified"
Mind Australia,Burnley,Mind Australia |Aftercare - NORTH WEST REGION,Greater Melbourne,aftercare@mindaustralia.org.au,1300 286 463,https://www.mindaustralia.org.au/aftercare,Actual location of program/service is not provided but head office is in Burnley. Those who meet the eligibility and have ties to metropolitan Melbourne can access the service.,Not applicable,No,Yes,No,,"Building 8. Level 3, 584 Swan Street",Burnley,VIC,3121,Free,"In person, Online","High intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",LGBTQIA+,"Peer worker, Tertiary qualified, Vocationally qualified"
Mind Australia,Hume and Moreland,Early Intervention Psychosocial Support Response - HUME and MORELAND,North Western Melbourne,Not provided - instructed to contact Melbourne Health adult mental health service clinician,Not provided - instructed to contact Melbourne Health adult mental health service clinician,https://www.mindaustralia.org.au/services/victoria/early-intervention-psychosocial-support-response-hume-and-moreland,Clients who believe the service would be beneficial are advised to speak to their mental health clinician at Melbourne Health. The Melbourne Health Community Mental Health team will determine if they are eligible.,Not applicable,No,No,No,No details on hours provided,N/S,,,,N/A,"In person, Outreach","High intensity, Specialist",,Specialised mental health community support services,Specialised Services,"Tertiary qualified, Vocationally qualified"
Mind Australia,Ivanhoe,Mind Australia |Community Recovery Program - IVANHOE,Statewide,mindconnect@mindaustralia.org.au,1301 286 463,https://www.mindaustralia.org.au/services/mind-victoria/community-recovery-program-ivanhoe,,Not applicable,Yes,No,No,,,,,,N/A,In person,"High intensity, Specialist",,"Specialised bed-based mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Peer worker
Mind Body Well,Melbourne,Dietetic Therapy,Greater Melbourne,INFO@MINDBODYWELL.COM.AU,(03) 9820 1848,Dietetic & Nutritional Therapy Melbourne Dietitian (mindbodywell.com.au),,Not applicable,No,Yes,No,Open until 6pm,103 / 34 QUEENS ROAD,Melbourne,VIC,3004,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity, Specialist",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,Tertiary qualified
Mind Body Well,Melbourne,Eating Disorder Therapy,Greater Melbourne,INFO@MINDBODYWELL.COM.AU,(03) 9820 1848,Eating Disorder Therapy Melbourne | Mind Body Well,,Not applicable,No,Yes,No,Open until 6pm,103 / 34 QUEENS ROAD,Melbourne,VIC,3004,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity, Specialist",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,Tertiary qualified
Mind Body Well,Melbourne,Psychological Counselling,Greater Melbourne,INFO@MINDBODYWELL.COM.AU,(03) 9820 1848,Psychologist Melbourne Eating Disorder Body Image (mindbodywell.com.au),,Not applicable,No,Yes,No,Open until 6pm,103 / 34 QUEENS ROAD,Melbourne,VIC,3004,"Free, Paid",In person,"High intensity, Low intensity, Moderate intensity, Specialist",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Mindful Life Wellness,Doreen,Maryanne Eva  (individual),Statewide,kidsmindfulness@outlook.com.au,,http://laurimarhealth.com.au/mental-health-social-worker/,They don't work on Fridays.,Not applicable,No,Yes,No,,20B Yellow Brick Rd,Doreen,VIC,3754,Paid,In person,"Low intensity, Self management",,"Mental health promotion, Specialised mental health community support services","Children, Young People","Peer worker, Vocationally qualified"
MindfulLiving,Croydon,MindfulLiving,Statewide,info@mindfulliving.com.au,1300 844 255,https://mindfulliving.com.au/,,Not applicable,No,Yes,No,,"Level 1, 24-26 Dorset Road",Croydon,VIC,3136,Paid,In person,"Low intensity, Moderate intensity, Self management",,"Medications and procedures, Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified, Vocationally qualified"
MindSpot,Online,MindSpot,Statewide,contact@mindspot.org.au,1800614434,https://www.mindspot.org.au/,Based in WA but provides online and phone services to all of Australia.,No timeframe,No,Yes,Yes,"Monday - Friday
8am - 8pm Sydney time

Saturday
8am - 6pm Sydney time

Not open on NSW public holidays",3 Technology Place,Macquarie University,NSW,2109,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention",Adult,Tertiary qualified
Monash Health,Monash Medical Centre Clayton,Monash Health,Greater Melbourne,,1300 369 012,https://monashhealth.org/contact/mental-health-locations-monash-health/,Eligibility to access Monash Health mental health services is based on geographic region.,Not applicable,Yes,Yes,Yes,,246 Clayton Rd,Clayton,VIC,3168,Free,"In person, Online, Outreach","High intensity, Moderate intensity, Specialist",Varies depending on service ,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services, Specialised bed-based mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
moodgym,Online,moodgym,Statewide,moodgym@ehubhealth.com,,https://moodgym.com.au/,Online interactive self-help book which helps people to learn and practise skills which can help to prevent and manage symptoms of depression and anxiety.,No timeframe,Yes,Yes,Yes,Online website,,,,,Free,Online,Self management,,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Moving on,Sunbury,Sunbury and Cobaw Community Health,North Western Melbourne,admin@scchc.org.au,9744 4455,Moving On – Sunbury and Cobaw Community Health (sunburycobaw.org.au),,Not applicable,No,Yes,No,,12-28 Macedon St,Sunbury,VIC,3429,Free,In person,"High intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Peer worker, Tertiary qualified, Vocationally qualified"
Multicultural Drug & Alcohol Partnership (MDAP),City of Yarra (Yarra),Multicultural Drug & Alcohol Partnership (MDAP),North Western Melbourne,info@ydhf.org.au,,https://ydhf.org.au/multicultural-drug-and-alcohol-partnership/,Yarra Drug &  Health Forum  administers this program. It is not clear if this service is still operational.,Not applicable,No,No,No,Program hours are not specified nor are hours of the Yarra Drug &  Health Forum which administers this program.,City of Yarra - Exact location not listed,,,,Free,In person,"Low intensity, Moderate intensity, Self management",,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Culturally and Linguistically Diverse, Young People",
Mums Matter Psychology,Altona,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,103B Grieve Parade,Altona,VIC,3018,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Collingwood,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,No,,64 Gold St,Collingwood,VIC,3066,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Delahey,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,80 Copperfield Dr,Delahey,VIC,3037,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Derrimut,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,30 Lennon Pkwy,Derrimut,VIC,3026,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Keilor Downs,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,12B Antwerp Dr,Keilor Downs,VIC,3038,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Maidstone,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,"Rogers Reserve, 23-25 Burns St",Maidstone,VIC,3012,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Newport,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,13/15 Mason St,Newport,VIC,3015,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Seabrook,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,No,,15 Truganina Ave,Seabrook,VIC,3028,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Sunshine,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,31A Alexandra Ave,Sunshine,VIC,3020,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Sydenham,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,G2/1 Station St,Taylors Lakes,VIC,3038,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,West Footscray,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,"Kingsville Kindergarten, 35A Roberts St",West Footscray,VIC,3012,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
Mums Matter Psychology,Yarraville,Mums Matter Psychology,North Western Melbourne,,03 90796930,Perinatal Psychologist | Mums Matter Psychology | Australia,,Less than 3 months,No,Yes,Yes,Appointments available up to 9pm weeknights and saturdays,40 Court St,Yarraville,VIC,3013,Free,"In person, Online","High intensity, Low intensity, Moderate intensity","Doctor/GP referral, General bookings","Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Medical, Tertiary qualified"
myturn2talk,Ringwood,myturn2talk,Statewide,kirsten@myturn2talk.com,0422 099 880,www.myturn2talk.com,,Not applicable,No,Yes,No,,Suite 18 / 50 New Street,Ringwood,VIC,3134,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",,"Mental health promotion, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
My Way Forward,My Way Forward,My Way Forward,Statewide,admin@mywayforward.com.au,,https://www.mywayforward.com.au/fees,No address listed,No timeframe,No,Yes,No,No notes on opening hours,,,,,Paid,"Online, Outreach","Low intensity, Moderate intensity",General bookings,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
